TICKER,DATE,OPEN,HIGH,LOW,CLOSE,VOL
SU26222RMFS8,2021-03-24,102.201,102.683,102.001,102.389,198341
SU26222RMFS8,2021-03-25,102.598,102.7,101.9,102.685,14574
SU26222RMFS8,2021-03-26,102.898,103.01,102.785,103.009,14121
SU26222RMFS8,2021-03-29,103.793,103.793,102.721,102.939,202214
SU26222RMFS8,2021-03-30,102.999,103.0,102.761,102.801,95392
SU26222RMFS8,2021-03-31,102.69,103.0,102.69,102.89,36321
SU26222RMFS8,2021-04-01,103.198,103.198,102.69,102.73,20389
SU26222RMFS8,2021-04-02,103.196,103.196,102.685,102.96,106700
SU26222RMFS8,2021-04-05,103.197,103.199,102.65,102.919,51140
SU26222RMFS8,2021-04-06,102.949,102.99,102.125,102.402,268444
SU26222RMFS8,2021-04-07,102.733,102.733,101.997,102.268,40326
SU26222RMFS8,2021-04-08,102.27,102.27,102.01,102.16,234415
SU26222RMFS8,2021-04-09,103.1,103.158,101.9,102.05,47557
SU26222RMFS8,2021-04-12,103.157,103.157,101.601,102.028,31908
SU26222RMFS8,2021-04-13,102.029,102.117,101.862,102.1,458005
SU26222RMFS8,2021-04-14,102.358,102.798,102.358,102.6,127272
SU26222RMFS8,2021-04-15,102.6,102.798,101.873,102.497,71525
SU26222RMFS8,2021-04-16,102.27,103.04,102.27,102.849,241906
SU26222RMFS8,2021-04-19,102.85,103.163,102.6,102.699,326271
SU26222RMFS8,2021-04-20,102.699,102.992,102.52,102.559,31960
SU26222RMFS8,2021-04-21,102.79,102.79,102.42,102.65,11290
SU26222RMFS8,2021-04-22,102.671,102.877,102.498,102.75,350161
SU26222RMFS8,2021-04-23,102.853,103.0,102.28,102.798,1302343
SU26222RMFS8,2021-04-26,102.799,102.9,102.649,102.7,2757725
SU26222RMFS8,2021-04-27,102.938,102.938,102.552,102.699,1135093
SU26222RMFS8,2021-04-28,103.738,103.738,102.575,102.7,921869
SU26222RMFS8,2021-04-29,103.196,103.2,102.601,102.749,344742
SU26222RMFS8,2021-04-30,103.19,103.197,102.601,102.78,12271
SU26222RMFS8,2021-05-04,102.799,102.84,102.75,102.839,8190
SU26222RMFS8,2021-05-05,102.839,102.926,102.68,102.77,325015
SU26222RMFS8,2021-05-06,102.77,103.0,102.6,102.78,7934
SU26222RMFS8,2021-05-07,102.506,102.997,102.506,102.786,1883
SU26222RMFS8,2021-05-10,104.341,104.341,102.851,102.94,2243
SU26222RMFS8,2021-05-11,103.199,103.199,102.56,102.649,969636
SU26222RMFS8,2021-05-12,102.5,103.2,102.452,102.54,775337
SU26222RMFS8,2021-05-13,102.65,102.652,102.302,102.499,548609
SU26222RMFS8,2021-05-14,103.199,103.199,102.405,102.615,16614
SU26222RMFS8,2021-05-17,102.986,102.986,102.406,102.628,7203
SU26222RMFS8,2021-05-18,102.977,102.977,102.511,102.597,19653
SU26222RMFS8,2021-05-19,103.089,103.089,102.462,102.54,9541
SU26222RMFS8,2021-05-20,102.365,102.845,102.205,102.6,218138
SU26222RMFS8,2021-05-21,102.6,102.6,102.45,102.558,33230
SU26222RMFS8,2021-05-24,102.711,102.712,102.371,102.371,10887
SU26222RMFS8,2021-05-25,102.384,102.995,102.206,102.479,184170
SU26222RMFS8,2021-05-26,102.377,103.0,102.352,102.44,22647
SU26222RMFS8,2021-05-27,102.987,102.987,102.35,102.35,17311
SU26222RMFS8,2021-05-28,102.36,102.795,102.171,102.32,13616
SU26222RMFS8,2021-05-31,102.321,102.448,102.092,102.3,10038
SU26222RMFS8,2021-06-01,102.799,102.799,102.0,102.237,6782
SU26222RMFS8,2021-06-02,102.237,102.237,101.946,102.0,8339
SU26222RMFS8,2021-06-03,102.002,102.149,101.867,101.95,93576
